ano_comercial,region_del_domicilio_o_casa_matriz,tramo_segun_ventas_5_tramos,contribucion_po,contribucion_empleo,contribucion_vtas,contribucion_sal_neto,numero_de_empresas,trabajadores,ventas_anuales_en_uf,sal_neto
2005,Región de Antofagasta,Micro,0.6827333990795529,0.14091182666265423,0.03917843142709717,1058856.405376462,16615,24349,8371882.39,1390077.752
2005,Región de Antofagasta,Pequeña,0.13543721236028927,0.29101946804324175,0.10772021637757033,2910379.468469896,3296,50287,23018302.41,3803674.3570000003
2005,Región de Magallanes y de la Antártica Chilena,Mediana,0.018201930812550282,0.19108245149911818,0.19357692165816742,608850.0097880407,181,13868,8772915.72,738614.67
2005,Región de La Araucanía,Sin Ventas/Sin Información,0.15034067575135338,0.06087886267935636,0,1912984.8473176763,6443,13836,0,2163261.116
2005,Región del Maule,Pequeña,0.10217380490474058,0.35708555337857056,0.25553758284871286,4182722.1360954936,6162,111721,41482299.69,4919992.438
2005,Región de Valparaíso,Grande,0.00497649075009887,0.25920981862246384,0.7798256797681976,21498523.469512198,453,160004,592631106.75,24598668.833000004
2005,Región de Ñuble,Mediana,0.010597064159656935,0.20310841184065803,0.16319516550092647,1604006.3326526233,257,21236,11529219.42,1798491.257
2005,Región de Tarapacá,Grande,0.01577735644637053,0.3058199880626005,0.6914569657389442,3153127.50974308,233,30230,92467018.09,3885009.6789999995
2005,Región de Tarapacá,Pequeña,0.12994312026002167,0.3058199880626005,0.11085694565758475,1386138.0446516757,1919,30230,14824655.34,1754389.464
2005,Región del Maule,Mediana,0.009832694954318592,0.17026614973039836,0.17243556558395848,2912842.7077101856,593,53271,27992061.79,3317425.9030000004
2005,Región del Maule,Grande,0.003117279344708087,0.199818454369081,0.45844280185495473,5090999.826601796,188,62517,74420605.71,5731099.809
2005,Región de La Araucanía,Pequeña,0.11008960238939705,0.2910270118052897,0.27192126590597504,3878323.6587571753,4718,66142,32115509.17,4606679.043
2005,Región del Libertador Gral. Bernardo O’Higgins,Micro,0.7201542699724518,0.1728354252938998,0.06125875481572865,2731019.810641869,32677,56470,15345228.85,3202002.0519999997
2005,Región de Los Lagos,Grande,0.006397109092684833,0.30134104075329754,0.6770441330204944,9172957.126034418,262,95815,171099579.11,10339939.931
2005,Región de Los Lagos,Micro,0.6985545463424162,0.18283945880325322,0.0552493057091011,3288262.904457271,28610,58136,13962358.57,4085711.78
2005,Región de Los Lagos,Pequeña,0.1360484422306866,0.2511212031626421,0.1504249138521208,3758744.5005480074,5572,79847,38014714.54,4634544.233
2005,Región de Tarapacá,Mediana,0.029794149512459372,0.17526732693299882,0.16386018915806438,1026365.5463898643,440,17325,21912662.43,1252255.3080000002
2005,Región del Libertador Gral. Bernardo O’Higgins,Mediana,0.012936639118457301,0.20732599387256026,0.10976387004130146,3467156.864678297,587,67739,27495689.56,3917169.317
2005,Región del Biobío,Mediana,0.016131991804030705,0.18752914015852246,0.12667937615046365,6792501.131371616,1055,99749,51092752.54,7818515.914
2005,Región del Biobío,Micro,0.6895012079880118,0.14555791183504038,0.05380432225453792,3091364.674355378,45092,77424,21700540.42,3915101.923
2005,Región Aisén del Gral.Carlos Ibáñez del Campo,Micro,0.7411269974768713,0.2611554439762097,NA,NA,4406,8738,1919208.3,730941.3420000001
2005,Región del Biobío,Sin Ventas/Sin Información,0.15765008104223371,0.08766487689693032,0,7634400.115389491,10310,46630,0,8258395.825
2005,Región de Atacama,Sin Ventas/Sin Información,0.1695520121488231,0.029654527735237374,0,294669.0926125946,2233,2982,0,348968.237
2005,Región de Valparaíso,Micro,0.6907435074922001,0.17489745267919052,0.03933125646963825,4672971.773644443,62877,107960,29889918.55,5992243.604
2005,Región de Arica y Parinacota,Sin Ventas/Sin Información,0.133520511620652,0.023458570095835806,0,56214.66667193552,1712,1383,0,70591.516
2005,Región de Magallanes y de la Antártica Chilena,Sin Ventas/Sin Información,0.15366049879324215,0.036623677248677246,0,507042.2295710146,1528,2658,0,551736.977
2005,Región Metropolitana de Santiago,Pequeña,0.1641070742717825,0.18531574234738346,0.0490107767049039,65362242.434846774,58964,996119,440388132.6,95185299.855
2005,Región de Arica y Parinacota,Micro,0.7714865075651225,0.3474175218386905,0.13313294244308874,1017349.1858911876,9892,20482,3715407.08,1181367.124
2005,Región de Atacama,Mediana,0.012452543659832954,0.19211798166232424,0.07213975753064293,1220332.7070378417,164,19319,7735809.28,1356142.052
2005,Región Metropolitana de Santiago,Mediana,0.029465463593300344,0.16168615691205604,0.05771740270104701,70453019.91085967,10587,869104,518621839.99,90793929.915
2005,Región de Atacama,Pequeña,0.1214123006833713,0.32266950416674955,0.10366952613014468,1247018.2729892824,1599,32447,11116861.35,1575848.178
2005,Región de Valparaíso,Sin Ventas/Sin Información,0.16918969987256668,0.10399075940098108,0,11773055.665707828,15401,64191,0,12649047.109
2005,Región del Libertador Gral. Bernardo O’Higgins,Sin Ventas/Sin Información,0.14234710743801654,0.03811132841791465,0,1432938.143834798,6459,12452,0,1625205.864
2005,Región Metropolitana de Santiago,Micro,0.6153542145604534,0.07238822061026709,0.01347494623540732,25433450.773997106,221098,389105,121079623.88,34192779.284
2005,Región de Coquimbo,Grande,0.0035080161245653447,0.206978738172279,0.46309698839635616,3655863.9342590785,114,40555,45888166.01,3971093.812
2005,Región Aisén del Gral.Carlos Ibáñez del Campo,Pequeña,0.11219512195121951,0.32457634717116474,NA,NA,667,10860,NA,NA
2005,Región Metropolitana de Santiago,Sin Ventas/Sin Información,0.17371180789419485,0.05508931393554871,0,53789905.493032105,62415,296119,0,60384431.828999996
