anio,region,area_km2,gini,pib_per_capita,tasa_pobr,pobl_total,tasa_informalidad,idh,ingreso_medio,prom_anio_estudio,tasa_homicidios,densidad_pobl
2016-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,32.6,NA,NA,NA,NA,NA
2016-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,33.6,NA,NA,NA,NA,NA
2016-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,33.8,NA,NA,NA,NA,NA
2017-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA
2017-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.9,NA,NA,NA,NA,NA
2017-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA
2018-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA
2018-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.7,NA,NA,NA,NA,NA
2018-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA
2019-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2019-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.1,NA,NA,NA,NA,NA
2019-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA
2020-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA
2020-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA
2020-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA
2021-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA
2021-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA
2021-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA
2022-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA
2022-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,38,NA,NA,NA,NA,NA
2022-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,36.8,NA,NA,NA,NA,NA
2023-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2023-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.7,NA,NA,NA,NA,NA
2023-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,38,NA,NA,NA,NA,NA
2024-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA
2024-07-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA
2024-10-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA
2025-01-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2025-04-01,Rio de Janeiro,43909.700000000004,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA
2015-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA
2016-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA
2016-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA
2016-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA
2017-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
2017-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,29.9,NA,NA,NA,NA,NA
2017-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA
2018-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.3,NA,NA,NA,NA,NA
2018-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
2018-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA
2019-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA
2019-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,32.6,NA,NA,NA,NA,NA
2019-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA
2020-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,28.2,NA,NA,NA,NA,NA
2020-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA
2020-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA
2021-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA
2021-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA
2021-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
2022-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA
2022-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA
2022-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA
2023-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA
2023-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.3,NA,NA,NA,NA,NA
2023-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
2024-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
2024-07-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA
2024-10-01,São Paulo,248808.80000000008,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA
2025-01-01,São Paulo,248808.80000000008,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA
2025-04-01,São Paulo,248808.80000000008,NA,NA,NA,NA,29.2,NA,NA,NA,NA,NA
2015-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.6,NA,NA,NA,NA,NA
2016-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2016-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA
2016-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,33,NA,NA,NA,NA,NA
2017-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA
2017-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,34.4,NA,NA,NA,NA,NA
2017-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA
2018-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA
2018-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA
2018-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,34.5,NA,NA,NA,NA,NA
2019-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA
2019-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA
2019-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA
2020-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
2020-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,29.4,NA,NA,NA,NA,NA
2020-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,29.3,NA,NA,NA,NA,NA
2021-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.6,NA,NA,NA,NA,NA
2021-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,33.9,NA,NA,NA,NA,NA
2021-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA
2022-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA
2022-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA
2022-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,31,NA,NA,NA,NA,NA
2023-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2023-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA
2023-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA
2024-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
2024-07-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.4,NA,NA,NA,NA,NA
2024-10-01,Paraná,199709.10000000006,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA
2025-01-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA
2025-04-01,Paraná,199709.10000000006,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2015-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA
2016-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
2016-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA
2016-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA
2017-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
2017-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA
2017-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
2018-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA
2018-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA
2018-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.4,NA,NA,NA,NA,NA
2019-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
2019-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA
2019-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA
2020-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
2020-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA
2020-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA
2021-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25.8,NA,NA,NA,NA,NA
2021-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA
2021-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA
2022-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.2,NA,NA,NA,NA,NA
2022-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA
2022-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25.9,NA,NA,NA,NA,NA
2023-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.6,NA,NA,NA,NA,NA
2023-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA
2023-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.6,NA,NA,NA,NA,NA
2024-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,27.1,NA,NA,NA,NA,NA
2024-07-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,26.8,NA,NA,NA,NA,NA
2024-10-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA
2025-01-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA
2025-04-01,Santa Catarina,95442.8999999999,NA,NA,NA,NA,24.7,NA,NA,NA,NA,NA
2015-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA
2016-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2016-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA
2016-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA
2017-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.8,NA,NA,NA,NA,NA
2017-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA
2017-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA
2018-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA
2018-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA
2018-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA
2019-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.1,NA,NA,NA,NA,NA
2019-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA
2019-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33.3,NA,NA,NA,NA,NA
2020-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA
2020-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,30.2,NA,NA,NA,NA,NA
2020-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA
2021-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,30.7,NA,NA,NA,NA,NA
2021-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.2,NA,NA,NA,NA,NA
2021-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,33,NA,NA,NA,NA,NA
2022-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.8,NA,NA,NA,NA,NA
2022-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA
2022-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.7,NA,NA,NA,NA,NA
2023-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.4,NA,NA,NA,NA,NA
2023-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA
2023-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA
2024-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA
2024-07-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.9,NA,NA,NA,NA,NA
2024-10-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA
2025-01-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
2025-04-01,Rio Grande do Sul,269153.9000000001,NA,NA,NA,NA,31.1,NA,NA,NA,NA,NA
2015-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,38,NA,NA,NA,NA,NA
2016-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,35.7,NA,NA,NA,NA,NA
2016-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA
2016-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.1,NA,NA,NA,NA,NA
2017-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,34.9,NA,NA,NA,NA,NA
2017-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,35.6,NA,NA,NA,NA,NA
2017-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA
2018-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA
2018-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA
2018-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36,NA,NA,NA,NA,NA
2019-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA
2019-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,37.3,NA,NA,NA,NA,NA
2019-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA
2020-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.2,NA,NA,NA,NA,NA
2020-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA
2020-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.1,NA,NA,NA,NA,NA
2021-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2021-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,36.6,NA,NA,NA,NA,NA
2021-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,35.6,NA,NA,NA,NA,NA
2022-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,34.3,NA,NA,NA,NA,NA
2022-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA
2022-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,32.7,NA,NA,NA,NA,NA
2023-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,34.1,NA,NA,NA,NA,NA
2023-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2023-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,33.1,NA,NA,NA,NA,NA
2024-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,31.8,NA,NA,NA,NA,NA
2024-07-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,32.1,NA,NA,NA,NA,NA
2024-10-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA
2025-01-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,30.5,NA,NA,NA,NA,NA
2025-04-01,Mato Grosso do Sul,358158.69999999995,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
2015-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA
2016-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,37.8,NA,NA,NA,NA,NA
2016-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,37.9,NA,NA,NA,NA,NA
2016-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA
2017-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.7,NA,NA,NA,NA,NA
2017-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA
2017-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,37,NA,NA,NA,NA,NA
2018-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA
2018-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.2,NA,NA,NA,NA,NA
2018-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,39.6,NA,NA,NA,NA,NA
2019-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,40.4,NA,NA,NA,NA,NA
2019-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,39.3,NA,NA,NA,NA,NA
2019-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA
2020-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.1,NA,NA,NA,NA,NA
2020-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.4,NA,NA,NA,NA,NA
2020-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,39.8,NA,NA,NA,NA,NA
2021-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA
2021-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,39,NA,NA,NA,NA,NA
2021-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,38.5,NA,NA,NA,NA,NA
2022-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2022-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA
2022-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA
2023-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35,NA,NA,NA,NA,NA
2023-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA
2023-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA
2024-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA
2024-07-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA
2024-10-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,34.8,NA,NA,NA,NA,NA
2025-01-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA
2025-04-01,Mato Grosso,906806.8999999997,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA
2015-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA
2016-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,39.2,NA,NA,NA,NA,NA
2016-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,38.3,NA,NA,NA,NA,NA
2016-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,39.7,NA,NA,NA,NA,NA
2017-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.6,NA,NA,NA,NA,NA
2017-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.7,NA,NA,NA,NA,NA
2017-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA
2018-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA
2018-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.2,NA,NA,NA,NA,NA
2018-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.6,NA,NA,NA,NA,NA
2019-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA
2019-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.8,NA,NA,NA,NA,NA
2019-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.6,NA,NA,NA,NA,NA
2020-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,36.6,NA,NA,NA,NA,NA
2020-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA
2020-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,39.4,NA,NA,NA,NA,NA
2021-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,40.9,NA,NA,NA,NA,NA
2021-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,41.3,NA,NA,NA,NA,NA
2021-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,41,NA,NA,NA,NA,NA
2022-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,39.5,NA,NA,NA,NA,NA
2022-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,38.8,NA,NA,NA,NA,NA
2022-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,36.7,NA,NA,NA,NA,NA
2023-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA
2023-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA
2023-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA
2024-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA
2024-07-01,Goiás,341289.4999999999,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA
2024-10-01,Goiás,341289.4999999999,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA
2025-01-01,Goiás,341289.4999999999,NA,NA,NA,NA,35.3,NA,NA,NA,NA,NA
2025-04-01,Goiás,341289.4999999999,NA,NA,NA,NA,35,NA,NA,NA,NA,NA
2015-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA
2016-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA
2016-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA
2016-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,27,NA,NA,NA,NA,NA
2017-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA
2017-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,28.5,NA,NA,NA,NA,NA
2017-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,27.8,NA,NA,NA,NA,NA
2018-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
2018-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA
2018-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,29.1,NA,NA,NA,NA,NA
2019-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,30,NA,NA,NA,NA,NA
2019-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA
2019-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,29.5,NA,NA,NA,NA,NA
2020-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,26,NA,NA,NA,NA,NA
2020-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA
2020-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA
2021-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,30.6,NA,NA,NA,NA,NA
2021-07-01,Distrito Federal,5822.1,NA,NA,NA,NA,31.9,NA,NA,NA,NA,NA
2021-10-01,Distrito Federal,5822.1,NA,NA,NA,NA,33.7,NA,NA,NA,NA,NA
2022-04-01,Distrito Federal,5822.1,NA,NA,NA,NA,31.2,NA,NA,NA,NA,NA
