"pais","anio","region","region_id","tramo","contribucion_po","contribucion_empleo","contribucion_vtas","contribucion_sal_neto","ent_nr","emp_nr","ventas_anuales_en_uf","sal_neto","poblacion","km_2","densidad_pobl","pib_regional","aporte_pib","pbi_per_capita","tasa_ocupacion","tasa_desempleo","tasa_informalidad","tasa_pobreza","anios_educacion_promedio","sin_educacion","basica_incompleta","basica_completa","media_incompleta","media_completa","superior_incompleta","superior_completa","renta_media_laboral_hogar","renta_media_autonoma_hogar","subsidios_promedio_hogar","renta_media_hogar","share_ing_trabajo","esperanza_vida","tasa_mortalidad_general","tasa_mortalidad_infantil","tasa_homicidios","tasa_denuncias_delitos_graves","ent_per_1000","tasa_empleo_pyme"
"Chile",2005,"Región de Tarapacá",2,"Mediana",0.0297941495124594,0.175267326932999,0.163860189158064,1026365.54638986,440,17325,21912662.43,1252255.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Libertador General Bernardo O'Higgins",8,"Mediana",0.0129366391184573,0.20732599387256,0.109763870041301,3467156.8646783,587,67739,27495689.56,3917169.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Biobío",10,"Mediana",0.0161319918040307,0.187529140158522,0.126679376150464,6792501.13137162,1055,99749,51092752.54,7818515.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Biobío",10,"Micro",0.689501207988012,0.14555791183504,0.0538043222545379,3091364.67435538,45092,77424,21700540.42,3915101.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Aysén del General Carlos Ibáñez del Campo",15,"Micro",0.741126997476871,0.26115544397621,NA,NA,4406,8738,1919208.3,730941.342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región del Biobío",10,"Sin Ventas/Sin Información",0.157650081042234,0.0876648768969303,0,7634400.11538949,10310,46630,0,8258395.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Atacama",4,"Sin Ventas/Sin Información",0.169552012148823,0.0296545277352374,0,294669.092612595,2233,2982,0,348968.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Valparaíso",6,"Micro",0.6907435074922,0.174897452679191,0.0393312564696382,4672971.77364444,62877,107960,29889918.55,5992243.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Arica y Parinacota",1,"Sin Ventas/Sin Información",0.133520511620652,0.0234585700958358,0,56214.6666719355,1712,1383,0,70591.516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",2005,"Región de Magallanes y la Antártica Chilena",16,"Sin Ventas/Sin Información",0.153660498793242,0.0366236772486772,0,507042.229571015,1528,2658,0,551736.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
