anio,departamento,tramo,contribucion_po,contribucion_vtas,n_empresas,n_muertes,n_nace,tm,tn,ts1
2022,Salto,Medianas,24.6035748,27.3673973,136,3,NA,2.2058824,NA,97.7941176
2022,Salto,Grandes,25.4656868,44.2205887,15,NA,1,NA,NA,NA
2022,San José,Micro,34.5486145,9.4740429,5213,840,1077,16.1135622,20.6598887,83.8864378
2022,San José,Pequeñas,21.1191483,14.5690184,535,4,9,0.7476636,1.682243,99.2523364
2022,San José,Medianas,19.762167,25.3834229,104,NA,NA,NA,NA,100
2022,San José,Grandes,24.5700665,50.573513,15,NA,NA,NA,NA,NA
2022,Soriano,Micro,35.6499634,6.4897089,3892,581,693,14.9280576,17.8057554,85.0719424
2022,Soriano,Pequeñas,25.1786098,11.1625805,465,9,4,1.9354839,0.8602151,98.0645161
2022,Soriano,Medianas,18.657526,19.4846745,78,NA,NA,NA,NA,100
2022,Soriano,Grandes,20.5139046,62.8630371,10,NA,NA,NA,NA,NA
2022,Tacuarembó,Micro,33.7608566,11.3910246,4124,712,876,17.2647915,21.2415131,82.7352085
2022,Tacuarembó,Pequeñas,20.5332108,15.1670294,388,4,4,1.0309278,1.0309278,98.9690722
2022,Tacuarembó,Medianas,19.0062618,21.8256111,68,NA,NA,NA,NA,100
2022,Tacuarembó,Grandes,26.6996727,51.616333,8,NA,NA,NA,NA,NA
2022,Treinta y Tres,Micro,41.3598022,14.8070107,2116,368,455,17.3913043,21.5028355,82.6086957
2022,Treinta y Tres,Pequeñas,23.6020298,20.5384121,220,6,3,2.7272727,1.3636364,97.2727273
2022,Treinta y Tres,Medianas,18.4373913,29.6612473,32,1,NA,3.125,NA,96.875
2022,Treinta y Tres,Grandes,16.6007748,34.9933281,3,NA,NA,NA,NA,NA
2021,Artigas,Micro,35.3853989,20.6368637,2509,360,508,14.348346,20.2471104,85.651654
2021,Artigas,Pequeñas,26.5551987,26.3653164,251,10,10,3.9840637,3.9840637,96.0159363
2021,Artigas,Medianas,21.1244774,34.4482002,48,NA,3,NA,6.25,100
2021,Artigas,Grandes,16.934927,18.5496178,2,NA,NA,NA,NA,NA
2021,Canelones,Micro,29.0910435,7.7739463,22141,3368,4929,15.2115984,22.2618671,84.7884016
2021,Canelones,Pequeñas,24.6902981,10.4894114,2522,101,121,4.0047581,4.7977795,95.9952419
2021,Canelones,Medianas,22.4195976,25.7193756,557,8,11,1.4362657,1.9748654,98.5637343
2021,Canelones,Grandes,23.7990589,56.0172691,69,NA,NA,NA,NA,NA
2021,Cerro Largo,Micro,29.3286095,13.4536476,3013,408,661,13.5413209,21.9382675,86.4586791
2021,Cerro Largo,Pequeñas,25.6907959,17.7882519,304,10,8,3.2894737,2.6315789,96.7105263
2021,Cerro Largo,Medianas,17.3755093,27.8825531,48,1,NA,2.0833333,NA,97.9166667
2021,Cerro Largo,Grandes,27.6050835,40.8755455,5,NA,NA,NA,NA,NA
2021,Colonia,Micro,29.5907574,6.6844625,7390,1012,1357,13.6941813,18.3626522,86.3058187
2021,Colonia,Pequeñas,25.1938305,9.9761639,873,28,26,3.207331,2.978236,96.792669
2021,Colonia,Medianas,20.5682735,16.806757,174,6,7,3.4482759,4.0229885,96.5517241
2021,Colonia,Grandes,24.6471405,66.5326157,21,NA,NA,NA,NA,NA
2021,Durazno,Micro,28.8184605,5.9881649,2302,336,429,14.5960035,18.6359687,85.4039965
2021,Durazno,Pequeñas,24.6659565,9.0849457,266,7,12,2.6315789,4.5112782,97.3684211
2021,Durazno,Medianas,17.6545372,14.434864,44,NA,2,NA,4.5454545,100
2021,Durazno,Grandes,28.8610516,70.4920273,6,NA,NA,NA,NA,NA
2021,Flores,Micro,31.520689,11.2072134,1225,195,269,15.9183673,21.9591837,84.0816327
2021,Flores,Pequeñas,27.9943905,17.2454815,141,2,3,1.4184397,2.1276596,98.5815603
2021,Flores,Medianas,17.9868145,22.7950344,23,NA,NA,NA,NA,100
2021,Flores,Grandes,22.4981098,48.7522697,4,NA,NA,NA,NA,NA
2021,Florida,Micro,31.8359261,9.3918781,3110,435,603,13.9871383,19.3890675,86.0128617
2021,Florida,Pequeñas,27.4067764,16.8130779,379,11,17,2.9023747,4.4854881,97.0976253
2021,Florida,Medianas,22.5304489,31.1191616,68,NA,NA,NA,NA,100
2021,Florida,Grandes,18.2268486,42.6758804,4,NA,NA,NA,NA,NA
2021,Lavalleja,Micro,31.8485947,12.6512241,2416,317,389,13.1208609,16.1009934,86.8791391
2021,Lavalleja,Pequeñas,26.2681446,16.6089573,290,11,14,3.7931034,4.8275862,96.2068966
2021,Lavalleja,Medianas,18.7367687,27.7832928,50,NA,NA,NA,NA,100
2021,Lavalleja,Grandes,23.1464901,42.9565239,6,NA,NA,NA,NA,NA
2021,Maldonado,Micro,28.2108345,11.9752512,11987,1849,2804,15.4250438,23.392008,84.5749562
2021,Maldonado,Pequeñas,27.7474918,16.9768505,1626,78,105,4.797048,6.4575646,95.202952
2021,Maldonado,Medianas,21.8650093,29.5135288,277,2,6,0.7220217,2.166065,99.2779783
2021,Maldonado,Grandes,22.1766644,41.5343704,21,NA,NA,NA,NA,NA
2021,Montevideo,Micro,18.0045738,1.6682917,80569,13118,16837,16.2816964,20.8976157,83.7183036
2021,Montevideo,Pequeñas,18.3449116,2.7787769,10890,338,389,3.1037649,3.5720845,96.8962351
2021,Montevideo,Medianas,20.6979008,8.3141785,2904,36,64,1.2396694,2.2038567,98.7603306
2021,Montevideo,Grandes,42.9526176,87.2387543,636,8,9,NA,NA,NA
2021,Paysandú,Micro,30.4430218,9.7794256,5188,746,1012,14.3793369,19.5065536,85.6206631
2021,Paysandú,Pequeñas,26.8753529,15.5245047,629,28,25,4.4515103,3.9745628,95.5484897
2021,Paysandú,Medianas,21.7422142,23.038475,125,1,1,0.8,0.8,99.2
2021,Paysandú,Grandes,20.9394169,51.6576004,12,NA,NA,NA,NA,NA
2021,Río Negro,Micro,32.1187019,5.621295,2799,457,635,16.3272597,22.6866738,83.6727403
2021,Río Negro,Pequeñas,25.676569,9.2523813,286,7,11,2.4475524,3.8461538,97.5524476
2021,Río Negro,Medianas,22.3700123,22.3134518,59,3,4,5.0847458,6.779661,94.9152542
2021,Río Negro,Grandes,19.8347206,62.8128738,10,NA,NA,NA,NA,NA
2021,Rivera,Micro,31.9434528,12.0231609,3600,591,820,16.4166667,22.7777778,83.5833333
2021,Rivera,Pequeñas,23.9472523,13.1747198,337,13,15,3.8575668,4.4510386,96.1424332
2021,Rivera,Medianas,19.8512936,24.296978,57,NA,NA,NA,NA,100
2021,Rivera,Grandes,24.2579994,50.505146,6,NA,NA,NA,NA,NA
2021,Rocha,Micro,37.6952591,15.1334524,3963,697,849,17.5876861,21.4231643,82.4123139
2021,Rocha,Pequeñas,27.3939304,23.3472137,391,17,16,4.3478261,4.0920716,95.6521739
