"pais","anio","region","region_id","tramo","contribucion_po","contribucion_vtas","ent_nr","ent_per_1000","n_muertes","n_nace","tm","tn","ts1","tasa_informalidad","tasa_pobreza","tasa_homicidios","tasa_desempleo","poblacion","km_2","densidad_poblacion","pib_regional","ingresos_promedio_per_capita","ingreso_medio_hogares","idh","gini","esperanza_vida_mujeres","esperanza_vida_hombres","aporte_pib","anios_educacion_promedio"
"Uruguay",2015,"Montevideo",1,"Pequeña",18.6215801,3.6485586,11093,8.10121351257711,372,441,3.3534661,3.97548,96.6465339,16.68084228,13.4,NA,7.8,1369301.02913325,530,2583.58684742122,NA,45600,96610.22007,0.841125504,0.396,80.6,73.6,NA,10.51400898
"Uruguay",2015,"Montevideo",1,"Mediana",22.3849277,10.8866539,3061,2.23544708933548,50,49,1.6334531,1.6007841,98.3665469,16.68084228,13.4,NA,7.8,1369301.02913325,530,2583.58684742122,NA,45600,96610.22007,0.841125504,0.396,80.6,73.6,NA,10.51400898
"Uruguay",2015,"Montevideo",1,"Grandes",41.4797211,83.3093338,644,0.470312945289792,8,3,NA,NA,NA,16.68084228,13.4,NA,7.8,1369301.02913325,530,2583.58684742122,NA,45600,96610.22007,0.841125504,0.396,80.6,73.6,NA,10.51400898
"Uruguay",2016,"Montevideo",1,"Micro",17.6346416,2.1547267,68402,50.0638569318522,10364,10087,15.1516038,14.7466448,84.8483962,17.69738165,12.9,NA,8.2,1366295.05179974,530,2577.91519207499,NA,45775.3,94768.16334,0.842753982,0.394,80.7,73.7,NA,10.46772383
"Uruguay",2016,"Montevideo",1,"Pequeña",18.7061501,3.5314002,13694,10.0227253124877,538,525,3.9287279,3.8337958,96.0712721,17.69738165,12.9,NA,8.2,1366295.05179974,530,2577.91519207499,NA,45775.3,94768.16334,0.842753982,0.394,80.7,73.7,NA,10.46772383
"Uruguay",2016,"Montevideo",1,"Mediana",22.3781872,10.1161232,3274,2.39626133146522,52,50,1.5882712,1.5271839,98.4117288,17.69738165,12.9,NA,8.2,1366295.05179974,530,2577.91519207499,NA,45775.3,94768.16334,0.842753982,0.394,80.7,73.7,NA,10.46772383
"Uruguay",2016,"Montevideo",1,"Grandes",41.2810249,84.1977463,646,0.472811490570108,8,5,NA,NA,NA,17.69738165,12.9,NA,8.2,1366295.05179974,530,2577.91519207499,NA,45775.3,94768.16334,0.842753982,0.394,80.7,73.7,NA,10.46772383
"Uruguay",2017,"Montevideo",1,"Micro",16.8612404,2.260596,73295,53.8199095303719,11731,14839,16.0051845,20.2455829,83.9948155,16.85211602,11.2,11.7,8.2,1361856.61848127,530,2569.54078958729,NA,48233.3,100604.2578,0.852414616,0.39,80.8,73.9,NA,10.74332454
"Uruguay",2017,"Montevideo",1,"Pequeña",18.5946789,3.5332115,13457,9.88136329286057,494,491,3.6709519,3.6486587,96.3290481,16.85211602,11.2,11.7,8.2,1361856.61848127,530,2569.54078958729,NA,48233.3,100604.2578,0.852414616,0.39,80.8,73.9,NA,10.74332454
"Uruguay",2017,"Montevideo",1,"Mediana",22.1947231,9.8426218,3293,2.41802254019394,46,43,1.3969025,1.3058002,98.6030975,16.85211602,11.2,11.7,8.2,1361856.61848127,530,2569.54078958729,NA,48233.3,100604.2578,0.852414616,0.39,80.8,73.9,NA,10.74332454
"Uruguay",2017,"Montevideo",1,"Grandes",42.3493576,84.3635635,667,0.489772558247603,8,6,NA,NA,NA,16.85211602,11.2,11.7,8.2,1361856.61848127,530,2569.54078958729,NA,48233.3,100604.2578,0.852414616,0.39,80.8,73.9,NA,10.74332454
"Uruguay",2018,"Montevideo",1,"Micro",17.0764122,2.3709512,74244,54.7585744386906,13707,13537,18.4620979,18.2331232,81.5379021,16.34259644,11.4,16.1,8.7,1355842.45501361,530,2558.19331134644,NA,47712.3,99345.94578,0.853623105,0.392,NA,NA,NA,10.8501155
"Uruguay",2018,"Montevideo",1,"Pequeña",18.4732876,3.7302592,12459,9.1891207226395,500,487,4.0131632,3.9088209,95.9868368,16.34259644,11.4,16.1,8.7,1355842.45501361,530,2558.19331134644,NA,47712.3,99345.94578,0.853623105,0.392,NA,NA,NA,10.8501155
"Uruguay",2018,"Montevideo",1,"Mediana",22.0379448,10.3427582,4330,3.19358638165415,33,64,0.7621247,1.47806,99.2378753,16.34259644,11.4,16.1,8.7,1355842.45501361,530,2558.19331134644,NA,47712.3,99345.94578,0.853623105,0.392,NA,NA,NA,10.8501155
"Uruguay",2018,"Montevideo",1,"Grandes",42.4123535,83.5560303,1077,0.7943400769149,5,7,NA,NA,NA,16.34259644,11.4,16.1,8.7,1355842.45501361,530,2558.19331134644,NA,47712.3,99345.94578,0.853623105,0.392,NA,NA,NA,10.8501155
