anio,region,total,Micro,Pequeña,Mediana,Grandes
2023-01-01,Canelones,81776,35228,23292,23256,19705
2023-01-01,Cerro Largo,9779,4633,2936,2210,2055
2023-01-01,Colonia,26023,11429,8041,6553,7434
2023-01-01,Durazno,7585,3462,2537,1586,2503
2023-01-01,Flores,3849,1770,1260,819,759
2023-01-01,Florida,10831,4664,3244,2923,1430
2023-01-01,Lavalleja,8051,3744,2639,1668,1866
2023-01-01,Maldonado,49368,20243,15825,13300,12615
2023-01-01,Montevideo,340419,121192,100242,118985,240584
2023-01-01,Paysandú,18017,7976,5429,4612,3413
2023-01-01,Rio Negro,9033,4157,2688,2188,1960
2023-01-01,Rivera,10673,5357,3037,2279,2292
2023-01-01,Rocha,11571,6356,3403,1812,1668
2023-01-01,Salto,16519,6824,4614,5081,3735
2023-01-01,San José,16388,7639,4772,3977,4493
2023-01-01,Sin codificar,510,423,87,0,0
2023-01-01,Soriano,12469,5585,4118,2766,2763
2023-01-01,Tacuarembó,11937,5699,3223,3015,2812
2023-01-01,Treinta y Tres,5834,2973,1729,1132,835
