Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Galicia;;;Índice de Gini;2022;29,3
Total Nacional;Galicia;;;Índice de Gini;2021;29,2
Total Nacional;Galicia;;;Índice de Gini;2020;29,7
Total Nacional;Galicia;;;Índice de Gini;2019;29,9
Total Nacional;Galicia;;;Índice de Gini;2018;30,4
Total Nacional;Galicia;;;Índice de Gini;2017;31,0
Total Nacional;Galicia;;;Índice de Gini;2016;31,7
Total Nacional;Galicia;;;Índice de Gini;2015;31,9
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2023;35,1
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2022;35,3
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2021;35,2
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2020;35,9
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2019;35,8
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2018;36,3
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2017;36,7
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2016;37,4
Total Nacional;Madrid, Comunidad de;;;Índice de Gini;2015;37,4
Total Nacional;Murcia, Región de;;;Índice de Gini;2023;31,1
Total Nacional;Murcia, Región de;;;Índice de Gini;2022;31,4
Total Nacional;Murcia, Región de;;;Índice de Gini;2021;31,4
Total Nacional;Murcia, Región de;;;Índice de Gini;2020;31,7
Total Nacional;Murcia, Región de;;;Índice de Gini;2019;31,8
Total Nacional;Murcia, Región de;;;Índice de Gini;2018;32,3
Total Nacional;Murcia, Región de;;;Índice de Gini;2017;32,8
Total Nacional;Murcia, Región de;;;Índice de Gini;2016;34,2
Total Nacional;Murcia, Región de;;;Índice de Gini;2015;34,6
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2023;30,9
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2022;31,0
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2021;33,0
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2020;""
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2019;""
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2018;""
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2017;""
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2016;""
Total Nacional;Navarra, Comunidad Foral de;;;Índice de Gini;2015;""
Total Nacional;País Vasco;;;Índice de Gini;2023;28,8
Total Nacional;País Vasco;;;Índice de Gini;2022;31,0
Total Nacional;País Vasco;;;Índice de Gini;2021;30,9
Total Nacional;País Vasco;;;Índice de Gini;2020;31,3
Total Nacional;País Vasco;;;Índice de Gini;2019;..
Total Nacional;País Vasco;;;Índice de Gini;2018;..
Total Nacional;País Vasco;;;Índice de Gini;2017;..
Total Nacional;País Vasco;;;Índice de Gini;2016;""
