Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Granada;;Índice de Gini;2021;33,3
Total Nacional;Andalucía;Granada;;Índice de Gini;2020;34,4
Total Nacional;Andalucía;Granada;;Índice de Gini;2019;34
Total Nacional;Andalucía;Granada;;Índice de Gini;2018;35
Total Nacional;Andalucía;Granada;;Índice de Gini;2017;35,7
Total Nacional;Andalucía;Granada;;Índice de Gini;2016;37
Total Nacional;Andalucía;Granada;;Índice de Gini;2015;36,9
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2021;2,9
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2020;3
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2019;3
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2017;3
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2016;3,4
Total Nacional;Andalucía;Granada;;Distribución de la renta P80/P20;2015;3,2
Total Nacional;Andalucía;Huelva;;Índice de Gini;2023;29,1
Total Nacional;Andalucía;Huelva;;Índice de Gini;2022;29,6
Total Nacional;Andalucía;Huelva;;Índice de Gini;2021;29,8
Total Nacional;Andalucía;Huelva;;Índice de Gini;2020;30,6
Total Nacional;Andalucía;Huelva;;Índice de Gini;2019;30,4
Total Nacional;Andalucía;Huelva;;Índice de Gini;2018;31,5
Total Nacional;Andalucía;Huelva;;Índice de Gini;2017;32,3
Total Nacional;Andalucía;Huelva;;Índice de Gini;2016;33,6
Total Nacional;Andalucía;Huelva;;Índice de Gini;2015;34
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2022;2,4
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Andalucía;Huelva;;Distribución de la renta P80/P20;2019;2,6
