Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2017;30,3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2016;31,3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2015;31,9
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2023;2,3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2022;2,3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2019;2,3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2018;2,4
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2017;2,4
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2016;2,5
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Canarias;;;Índice de Gini;2023;31,7
Total Nacional;Canarias;;;Índice de Gini;2022;32,5
Total Nacional;Canarias;;;Índice de Gini;2021;33,2
Total Nacional;Canarias;;;Índice de Gini;2020;33,8
Total Nacional;Canarias;;;Índice de Gini;2019;33,3
Total Nacional;Canarias;;;Índice de Gini;2018;33,9
Total Nacional;Canarias;;;Índice de Gini;2017;34,4
Total Nacional;Canarias;;;Índice de Gini;2016;35,8
Total Nacional;Canarias;;;Índice de Gini;2015;36,1
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2022;2,8
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2019;2,9
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2017;2,9
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2016;3,1
Total Nacional;Canarias;;;Distribución de la renta P80/P20;2015;3
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2023;31,3
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2022;32,1
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2021;32,9
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2020;33,3
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2019;32,8
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2018;33,3
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2017;33,8
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2016;35,2
Total Nacional;Canarias;Palmas, Las;;Índice de Gini;2015;35,6
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2020;2,9
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2017;3
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2016;3,1
Total Nacional;Canarias;Palmas, Las;;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2023;30,5
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2022;31,4
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2021;32,8
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2020;32,9
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2019;31,6
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2018;31,5
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2017;31,8
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2016;33,6
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Índice de Gini;2015;33,8
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2020;2,9
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2016;3
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Distribución de la renta P80/P20;2015;3
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2023;31,6
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2022;32,4
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2021;32,9
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2020;33,4
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2019;33,3
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2018;33,9
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2017;34,4
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2016;35,7
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Índice de Gini;2015;36,1
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2018;2,8
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2017;3
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2016;3,2
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2023;29,8
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2022;30,6
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2021;32,3
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2020;32,6
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2019;31
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2018;31,3
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2017;31,7
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2016;33,3
Total Nacional;Canarias;Palmas, Las;Lanzarote;Índice de Gini;2015;33,9
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Canarias;Palmas, Las;Lanzarote;Distribución de la renta P80/P20;2015;3
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2023;32,1
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2022;32,9
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2021;33,6
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2020;34,2
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2019;33,8
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2018;34,7
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2017;35,1
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2016;36,5
Total Nacional;Canarias;Santa Cruz de Tenerife;;Índice de Gini;2015;36,8
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2021;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2018;3
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2016;3,4
Total Nacional;Canarias;Santa Cruz de Tenerife;;Distribución de la renta P80/P20;2015;3,4
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2023;30,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2022;30,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2021;31,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2020;31,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2019;30,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2018;31,5
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2017;31,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2016;32,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Índice de Gini;2015;32,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Gomera, La;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2023;33,1
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2022;33
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2021;32,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2020;33,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2019;34
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2018;34,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2017;35,4
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2016;36,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Índice de Gini;2015;35,3
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2023;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2022;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2021;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2020;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2019;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2018;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2017;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2016;3,5
Total Nacional;Canarias;Santa Cruz de Tenerife;Hierro, El;Distribución de la renta P80/P20;2015;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2023;33,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2022;33,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2021;32,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2020;33,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2019;33,3
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2018;34,1
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2017;34,3
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2016;35,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Índice de Gini;2015;35,6
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2023;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2021;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2019;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2018;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2016;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Palma, La;Distribución de la renta P80/P20;2015;3,1
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2023;32
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2022;32,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2021;33,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2020;34,4
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2019;33,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2018;34,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2017;35,2
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2016;36,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Índice de Gini;2015;36,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2021;2,9
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2019;2,8
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2018;3
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2017;3,1
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2016;3,4
Total Nacional;Canarias;Santa Cruz de Tenerife;Tenerife;Distribución de la renta P80/P20;2015;3,4
Total Nacional;Cantabria;;;Índice de Gini;2023;29
Total Nacional;Cantabria;;;Índice de Gini;2022;29,2
Total Nacional;Cantabria;;;Índice de Gini;2021;29,4
Total Nacional;Cantabria;;;Índice de Gini;2020;30,1
Total Nacional;Cantabria;;;Índice de Gini;2019;30
Total Nacional;Cantabria;;;Índice de Gini;2018;30,4
Total Nacional;Cantabria;;;Índice de Gini;2017;30,9
Total Nacional;Cantabria;;;Índice de Gini;2016;31,8
Total Nacional;Cantabria;;;Índice de Gini;2015;32,1
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Cantabria;;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2023;29
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2022;29,2
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2021;29,4
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2020;30,1
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2019;30
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2018;30,4
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2017;30,9
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2016;31,8
Total Nacional;Cantabria;Cantabria;;Índice de Gini;2015;32,1
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2022;2,5
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Cantabria;Cantabria;;Distribución de la renta P80/P20;2015;2,7
Total Nacional;Castilla y León;;;Índice de Gini;2023;29,3
Total Nacional;Castilla y León;;;Índice de Gini;2022;29,6
Total Nacional;Castilla y León;;;Índice de Gini;2021;29,5
Total Nacional;Castilla y León;;;Índice de Gini;2020;30,2
Total Nacional;Castilla y León;;;Índice de Gini;2019;30
Total Nacional;Castilla y León;;;Índice de Gini;2018;30,4
Total Nacional;Castilla y León;;;Índice de Gini;2017;31,1
Total Nacional;Castilla y León;;;Índice de Gini;2016;32,1
Total Nacional;Castilla y León;;;Índice de Gini;2015;32,2
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2016;2,7
Total Nacional;Castilla y León;;;Distribución de la renta P80/P20;2015;2,8
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2023;30,6
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2022;31
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2021;31
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2020;32
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2019;31,6
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2018;32,1
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2017;32,8
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2016;34,3
Total Nacional;Castilla y León;Ávila;;Índice de Gini;2015;34,5
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2023;2,7
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2020;2,7
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2017;2,8
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Castilla y León;Ávila;;Distribución de la renta P80/P20;2015;3
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2023;28,5
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2022;28,7
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2021;28,7
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2020;29,3
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2019;28,9
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2018;29,4
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2017;30,1
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2016;30,8
Total Nacional;Castilla y León;Burgos;;Índice de Gini;2015;31,1
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2022;2,4
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2018;2,4
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla y León;Burgos;;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Castilla y León;León;;Índice de Gini;2023;28,6
Total Nacional;Castilla y León;León;;Índice de Gini;2022;29
Total Nacional;Castilla y León;León;;Índice de Gini;2021;28,8
Total Nacional;Castilla y León;León;;Índice de Gini;2020;29,7
Total Nacional;Castilla y León;León;;Índice de Gini;2019;29,5
Total Nacional;Castilla y León;León;;Índice de Gini;2018;30
Total Nacional;Castilla y León;León;;Índice de Gini;2017;30,7
Total Nacional;Castilla y León;León;;Índice de Gini;2016;31,5
Total Nacional;Castilla y León;León;;Índice de Gini;2015;31,4
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2019;2,5
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2016;2,6
Total Nacional;Castilla y León;León;;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2023;27,9
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2022;28,2
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2021;28
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2020;28,6
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2019;28,2
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2018;28,6
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2017;29,3
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2016;29,9
Total Nacional;Castilla y León;Palencia;;Índice de Gini;2015;30,3
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2023;2,4
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2022;2,4
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2021;2,4
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2020;2,5
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2019;2,4
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2018;2,5
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2017;2,5
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2016;2,5
Total Nacional;Castilla y León;Palencia;;Distribución de la renta P80/P20;2015;2,6
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2023;30,4
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2022;30,8
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2021;30,8
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2020;31,6
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2019;31,5
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2018;31,9
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2017;32,4
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2016;33,6
Total Nacional;Castilla y León;Salamanca;;Índice de Gini;2015;33,7
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2023;2,6
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2022;2,7
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2021;2,5
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2020;2,6
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2018;2,7
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2017;2,6
Total Nacional;Castilla y León;Salamanca;;Distribución de la renta P80/P20;2016;2,7
